Date,Clicks,Impressions,CTR,Position
2026-03-01,0,1,0%,3
2026-03-02,1,7,14.29%,2.9
2026-03-03,0,3,0%,3.3
2026-03-04,1,3,33.33%,3
2026-03-05,0,1,0%,10
2026-03-06,0,0,,
2026-03-07,0,17,0%,7.1
2026-03-08,0,1,0%,3
2026-03-09,0,3,0%,6.7
2026-03-10,0,2,0%,2
2026-03-11,0,0,,
2026-03-12,0,1,0%,1
2026-03-13,0,0,,
2026-03-14,0,4,0%,3.8
2026-03-15,0,1,0%,21
2026-03-16,0,7,0%,3.6
2026-03-17,0,2,0%,5.5
2026-03-18,1,2,50%,47
2026-03-19,0,48,0%,31.7
2026-03-20,0,10,0%,37.6
2026-03-21,0,6,0%,5.2
2026-03-22,1,37,2.7%,31.1
